"source","target"
"BookofJim","JonHuntsman"
"ATVpolitics","JonHuntsman"
"JamesAkersJr","TheFix"
"marklarsonradio","pcam"
"FabulousTahoe","AdenCrockerTwit"
"jonnnathan","ash_heap"
"jonmarrero","SalimZymet"
"valsyl","TheBrizz"
"manan","The_Moron"
"Amitsachdeva","MicheleBachmann"
"Smalltalkwitht","Superman6869"
"MKCarruthers","RonPaul"
"jacqui","anamariecox"
"ToddMarks","RonPaul"
"evanwisemusic","aishatyler"
"Taosnadh","BachmannsBrain"
"naeemac","icantbefamous"
"coneymedia","MittRomney"
"SupermanHotMale","whaleyad"
"WolfNW","AuntyEmEricann"
